Danger,Sev1,Sev2,Sev3,Sev4,Sev5,Sev6
234.5779173423,19.0,2392.0,8637.0,240.0,117.0,5753.0
262.7265032003,19.0,2753.0,9573.0,381.0,439.0,6521.0
420.4077279541,23.0,3881.0,16897.0,432.0,626.0,8642.0
214.55435779389998,17.0,2314.0,8223.0,288.0,448.0,4793.0
294.5635079314,12.0,3708.0,12288.0,238.0,435.0,5181.0
290.3077864879,17.0,3048.0,11938.0,400.00000000000006,160.0,5529.999999999999
265.84912726359994,8.0,2468.0,11977.0,349.0,192.00000000000003,3861.0
270.4218894964,12.0,2651.0,12846.0,473.0,148.0,3055.9999999999995
306.145707056,20.0,3400.0000000000005,13255.0,513.0,366.0,4926.0
276.4335031484,22.0,3167.0000000000005,12025.0,552.0,367.0,4342.0
315.1146323423,29.0,3541.0000000000005,13452.0,466.0,408.0,5295.0
446.8292339276,18.0,4243.0,16490.0,430.0,863.0,10967.0
290.7206706238,14.0,2461.0,11278.0,269.0,580.0,6545.0
242.42359287169998,11.0,2551.0,11471.0,274.0,138.0,2743.0
236.3842009427,21.0,2471.0,10484.0,385.0,280.0,3542.0
186.43884282960002,28.0,1944.0,7618.000000000001,254.0,426.0,3594.0000000000005
217.40408977619995,16.0,2415.0,9927.0,319.0,223.0,2860.0
236.39535253789995,17.0,2133.0,8611.0,238.0,508.0,5975.0
215.6774004376,18.0,2504.0,8582.0,379.0,523.0,4360.0
125.66152753649999,5.0,1259.0,5058.0,209.0,237.00000000000003,2537.0
105.61185467170002,11.0,1219.0,4662.0,223.0,170.0,1569.0
