Danger,Sev1,Sev2,Sev3,Sev4,Sev5,Sev6
116.652199209258,10.0,1229.0,4262.0,121.0,65.0,2889.0
130.93534357070797,10.0,1384.0,4718.0,192.0,219.0,3312.0
210.0833369184768,16.0,1972.0000000000002,8519.0,226.0,311.0,4214.0
107.4079428236584,7.999999999999999,1154.0,4139.0,138.0,223.0,2373.0
147.6455505189236,7.000000000000001,1880.0,6170.0,114.0,199.0,2578.0
144.7914860526732,9.0,1539.9999999999998,5964.0,205.0,84.0,2739.0
132.72776915770962,1.9999999999999998,1244.0000000000002,5966.0,187.0,90.0,1941.0
134.62428082832358,7.0,1340.0,6401.0,250.99999999999997,76.99999999999999,1507.0
153.2443947962024,13.0,1697.0,6610.999999999999,258.0,171.0,2498.0
137.80108529833237,13.0,1624.0,5988.0,275.0,169.0,2159.0
157.09850925043676,16.0,1756.0,6713.0,249.00000000000003,206.0,2634.0
224.32895913051797,10.0,2083.0,8273.0,213.0,408.0,5530.0
145.1843200243384,8.0,1226.0,5630.0,129.0,280.0,3272.9999999999995
121.1528201980688,6.0,1258.0,5733.0,143.0,65.0,1376.0
118.92639310141278,11.0,1221.0,5299.0,191.0,136.0,1759.0
93.4451797686872,14.0,995.9999999999999,3826.9999999999995,128.0,206.0,1784.0
109.50468331647798,10.0,1167.0,5029.0,151.0,106.0,1421.0
118.41013316336839,8.0,1063.0,4280.0,130.0,252.0,3036.0
107.5682938345936,7.0,1273.0,4270.0,174.0,260.0,2180.0
62.647440668484386,3.0,634.0,2497.0,108.0,124.0,1293.0
52.59261563480881,6.0,604.0,2323.0,112.0,92.0,780.0
